Dec 21,61923
Dec 22,63378
Dec 23,64473
Dec 24,65977
Dec 26,66649
Dec 30,69252
Jan 1,70257
Jan 5,77053
Jan 6,79057
Jan 7,80489
Jan 8,81888
Jan 9,83086 
Jan 11,83838
Jan 12,85791
Jan 13,87220
Jan 14,87241
Jan 15,87241
Jan 25,100129
Jan 26,100890
Jan 28,101675
Jan 29,102163
Jan 30,102948
Jan 31,103468
Feb 1,104334
Feb 2,104838
Feb 3,105323
Feb 4,106036
Feb 5,106256
Feb 6,106949
Feb 7,108286
Feb 8,108831
Feb 9,109146
Feb 10,109236
